Feature	Description	Normal_1	Normal_2	Normal_3	Normal_4	Normal_5	Normal_6	Normal_7	Normal_8	Barrett's Esophagus_1	Barrett's Esophagus_2	Barrett's Esophagus_3	Barrett's Esophagus_4	Barrett's Esophagus_5	Barrett's Esophagus_6	Barrett's Esophagus_7	Barrett's Esophagus_8	EAC_1	EAC_2	EAC_3	EAC_4	EAC_5	EAC_6	EAC_7	EAC_8
SLC48A1	NA	5.559155013	5.729790058	6.102220924	6.271427718	5.580836536	5.786020841	5.727836337	5.798300131	5.03608973	5.17067963	5.614825329	5.559580751	5.483905068	5.244077867	5.404304419	5.343764879	5.296393894	5.142648977	4.932036264	4.699211637	5.732517843	5.545981389	4.677549921	4.767965268
SLC4A1	NA	3.356897123	3.135494216	3.401197382	3.618993327	3.511545439	3.725693427	3.000719815	3.109060959	2.912350665	3.277144733	3.152736022	3.314186005	3.135494216	3.33220451	3.303216973	3.161246712	4.580877493	3.254242969	3.299533728	2.980618636	4.316153891	3.000719815	3.55820113	3.04927304
SLC4A10	NA	3.869115504	0.875468737	3.404525172	4.204692619	3.701301974	3.292126287	2.00148	3.46260601	2.980618636	3.186352633	2.890371758	3.686376324	3.36729583	3.46260601	3.0301337	3.811097087	3.845883203	3.122364924	3.815512105	2.587764035	0.916290732	3.08190997	3.887730313	2.93385687
SLC4A1AP	NA	6.54376795	6.170447203	5.870708346	5.718671087	5.999680702	6.174410909	6.398428531	6.081305251	6.091762268	6.069582326	6.270421163	6.026348949	6.092666428	5.659482216	6.352803597	5.956873102	6.150389526	5.800001332	6.307369579	5.706777984	5.90835464	5.892472598	6.30151947	6.34159311
SLC4A2	NA	3.443618098	3.605497845	2.995732274	4.660604893	4.551769409	3.711130063	4.990432587	5.53180721	5.519859636	4.335982696	4.107589789	5.402677382	5.269917892	5.029129877	5.540871311	5.524655809	6.384013263	5.615679593	5.744604469	4.618086411	5.223054882	5.919162635	6.353848166	5.805134969
SLC4A3	NA	2.197224577	2.174751721	2.58021683	2.879198457	2.240709689	2.282382386	2.028148247	5.51100646	1.887069649	2.261763098	2.240709689	2.32238772	2.219203484	2.219203484	2.066862759	1.945910149	2.282382386	2.116255515	1.916922612	2.014903021	2.302585093	2.302585093	2.104134154	2.028148247
SLC4A4	NA	4.914429938	5.023036159	3.788490748	4.936824823	4.365631303	4.044065001	4.378817809	4.032069607	5.741861334	5.743875023	4.743053588	3.903911265	4.442684059	4.577605252	6.423030001	5.960457385	4.487928367	4.282745848	4.508529948	5.881852306	4.681178237	3.956202374	5.828486159	6.060804474
SLC4A5	NA	4.905274778	4.946629964	4.574710979	5.149237144	5.216564865	4.705015521	4.821087692	4.769836808	4.478472533	4.594109239	4.563305982	4.828313737	5.091908014	4.48187197	4.750135956	3.708682081	4.848116365	5.078916802	4.808927024	4.779123493	4.779123493	4.313480092	5.160204064	4.923623917
SLC4A7	NA	4.106372734	3.614677964	3.236462314	3.823194093	3.292839153	3.812269893	3.87986775	3.958616339	3.969993801	3.572403333	3.411490154	3.955657178	3.79744711	3.011131327	3.973192666	3.702202845	4.314825719	3.707971028	3.661804665	3.558490094	3.31133703	3.093035516	4.43312932	4.510831771
SLC4A8	NA	2.208274414	2.014903021	2.312535424	1.902107526	4.08933202	3.478158423	2.197224577	1.974081026	1.098612289	3.605497845	1.62924054	2.282382386	2.379546134	1.193922468	1.960094784	2.90690106	2.862200881	4.034240638	1.824549292	1.791759469	2.778819272	1.193922468	4.165113633	3.879499814
SLC5A1	NA	5.642970335	5.661918271	6.052089169	6.630023537	5.852777027	6.016401032	6.402248817	3.891820298	6.983975305	6.226339021	6.327936784	6.319148278	5.653541258	6.270421163	6.600958343	6.710766685	7.677215142	7.792183758	5.820972742	6.553933404	5.828945618	4.40060302	4.213607983	5.489350864
SLC5A12	NA	3.514526067	1.252762968	2.219203484	0.530628251	2.949688335	2.833213344	3.169685581	0.182321557	1.791759469	0.78845736	0.741937345	1.722766598	-0.510825624	0.993251773	0	-0.510825624	3.068052935	1.609437912	1.16315081	1.098612289	1.252762968	2.433613355	2.041220329	2.2300144
SLC5A2	NA	4.76046307	3.621670704	5.273512248	4.609162207	5.338018733	5.415211118	5.478135793	4.711330382	4.970507503	5.360822572	5.244389025	5.095589	4.496470769	5.559912104	5.453182077	5.085742767	5.499624223	5.169346985	4.795790546	4.821087692	5.032396786	5.186267863	4.742320024	4.914858339
SLC5A3	NA	5.537996732	5.593956628	4.926327056	4.843880582	5.409650976	5.225034531	5.55862041	5.131909431	5.276763137	4.872196855	5.4694039	5.229545879	5.510829504	4.850775497	5.277447015	4.662559581	5.606766208	5.491775323	5.508230169	5.356755938	5.258641212	5.064290935	4.604415914	4.705699155
SLC5A4	NA	2.827313622	3.55820113	2.90690106	3.799973502	3.246490992	3.443618098	3.303216973	3.871201011	3.000719815	3.5085559	3.616308761	3.430756184	3.817712326	1.945910149	2.797281335	2.740840024	2.261763098	3.39785848	2.949688335	2.681021529	3.335769576	2.93385687	3.27336401	3.144152279
SLC5A5	NA	5.043425117	5.221976133	5.420977379	5.896604266	5.463407986	4.943782987	4.863680881	5.050496828	5.335613151	5.577463108	5.430660554	5.765817866	5.165357239	4.783316371	5.416100402	5.435467205	5.190732156	5.564903476	5.374352053	4.885072071	5.22359382	5.078916802	5.748437115	4.915591745
SLC5A6	NA	6.130356546	6.030925616	6.576469569	6.722027929	6.556210013	6.076724391	6.221980853	5.168208681	6.307004948	5.994709277	6.199291394	6.267200549	6.280208556	6.078100854	6.145043635	6.221186414	6.914134886	6.873991649	6.54864881	5.876053696	6.12905021	6.180844468	6.393925146	6.655826376
SLC5A7	NA	3.465735903	3.586292865	5.007296393	4.200204953	3.569532696	2.451005098	3.254242969	2.587764035	2.721295428	2.63905733	4.446174454	2.602689685	3.391147046	3.165475048	2.617395833	2.240709689	2.219203484	3.737669618	3.407841924	2.821378886	3.860729711	3.696351469	2.557227311	3.6558396
SLC6A1	NA	5.679831254	5.167639043	5.729450221	5.299816243	4.730921391	5.65459223	5.329816034	2.653241965	3.804437795	4.448516376	4.69501089	4.379523504	4.365643155	4.324132656	4.533674184	4.206184044	4.021773869	2.014903021	3.817712326	2.674148649	4.531523646	3.493472658	4.010962953	3.910021003
SLC6A11	NA	2.76000994	2.646174797	2.833213344	2.63905733	4.096009842	4.989071116	4.321480135	3.751854253	3.543853682	3.234749174	3.974058396	4.694096395	4.565389316	4.789988623	3.280911216	4.286341385	3.0301337	2.975529566	3.131136911	3.972176928	4.443827036	4.520701029	3.005682604	2.708050201
SLC6A12	NA	5.214392132	5.281679725	5.392262979	5.814130532	5.180096735	5.136974216	5.029784113	4.722063937	4.917788744	5.046645732	5.37296091	4.683981366	4.963543687	5.083265985	5.358941988	5.595826	5.268888556	4.874433673	4.783316371	4.829113417	5.078293943	4.825108606	4.980176087	5.590613777
SLC6A13	NA	4.962145085	4.787491743	5.552959585	5.671947751	5.447168313	5.353752073	4.799090879	5.281679725	5.001258132	5.25593165	5.316648323	5.434594985	5.085124146	5.357057862	5.262690189	5.427150238	4.815431111	5.512218336	5.444579874	5.401325117	5.137561588	5.222515653	5.646859327	5.486040973
SLC6A14	NA	4.324132656	4.08933202	3.968403339	4.074141855	5.200153118	4.865994804	4.545420182	3.583518938	7.181744024	7.160845907	6.368358698	5.345200952	5.129306824	6.149322632	6.64131271	6.852559644	6.069582326	6.696663809	5.04407007	7.992809403	5.199049365	5.19462213	7.796222502	6.006599435
