"","t0","t2","t4","t6","t8","t12"
"HIST1H1E",13.9916264091671,14.3282461093287,14.3573106796431,13.7704295072419,13.3678143993123,14.2100748209918
"PSRC1",8.89470079634385,8.92839918401022,10.1108343379753,10.4124599655144,9.88478970539449,8.64484956973666
"DLGAP5",10.9505295801265,11.1064348461746,11.6784451303255,11.960391529679,11.975143190805,11.7215023107641
"PRKCA",9.26316102842154,9.1912617196859,9.94681743003869,10.2611407346093,10.4403623312798,10.4828167695223
"PDE3A",10.951088461221,11.1121349942618,11.765571719527,12.008966407045,11.8212884798344,11.8599020059256
"STAMBPL1",11.1535670837724,11.6842346508223,12.3494134245478,12.0660773589747,11.5844484948133,11.2051334355704
"IFI44",8.8886172081533,8.80460807197789,8.94160850604012,9.52582536225065,9.84776385516364,10.2525366418658
"DNAJB1",11.2112478557859,11.035079162631,11.8838753942836,12.1180280063942,11.983696659151,11.2947436039711
"DUSP4",8.17421952988122,9.22441868435483,9.55350064936102,9.04605031052878,8.87215033525155,8.43400994869242
"HIST1H2AH",9.08060870084632,10.8228905550989,9.713456719304,8.812708636399,9.09158696489992,10.0736053003938
"LIPH",10.6910472906733,10.5815241633214,10.0366796920763,9.39664308627404,9.27738358496214,10.3269985701164
"KIF23",12.013965454441,12.3471982457769,12.6907247378069,12.9040657674844,12.6951264804671,11.5248016311626
"ARL6IP1",13.7075541529465,13.9035600562625,14.2098095325694,14.374304415003,14.4049685273478,13.7640681705635
"HIST1H4E",11.6843328684315,12.7234232372783,12.0716189782741,11.14396524279,10.937564949499,12.0523427169494
"GRAMD1B",10.9056638668055,11.3546270880219,12.052704310416,12.0579095420305,12.1600757853712,12.4484605223739
"AURKB",11.6405774852972,11.6893893039198,12.0384719189237,12.0604607101206,11.9228919592014,11.0283467033091
"HIST1H3F",9.76294660851606,10.6771313471733,10.6809585446625,9.44885410220045,8.9920836980952,10.3116628660983
"AURKA",11.4342023853948,11.743291853465,12.4462130191965,12.9192643061215,12.8999739581575,11.5712156430205
"IL6",8.04944872824306,10.2016426151745,9.59882416081563,8.43388504859835,8.1081133381945,8.21320427853646
"KMT2C",9.55308759652652,9.22226572264812,9.88328836417314,10.0801265198595,10.2942645806265,10.5486417841955
"BIRC5",10.778675348962,10.7957145133984,11.1971185076897,11.4982406573097,11.5366405314173,10.835707449481
"HIST1H2BL",9.35115871108091,10.55657091785,10.1315412583811,8.92361332983921,8.41742663147211,9.96388952161033
"TCF19///TCF19",9.55250580782488,9.46710043634994,9.18435837946922,8.61458023241706,8.37175900978726,9.37506400998779
"PSPC1",10.337711204067,10.5150500351867,10.8727749309794,11.1190228265545,11.2292388111093,11.0503295154244
"BRD8///BRD8",9.9759966821226,9.828347645189,10.2848910364578,10.625879486076,10.6971733681741,9.71293203951765
"RDH10",11.3308878266894,11.7922567337177,12.2220846315124,11.8688903152941,11.6930399630603,11.1104955334028
"TTK",10.6138113969072,10.7770906525694,11.2396910136288,11.6907980826417,11.6476127153621,10.5918529388192
"NEDD9///NEDD9",9.97601807712903,10.8916307149459,10.526895571226,9.92396505665542,9.66067341959348,9.8086403214993
"TRIO",9.27979020142724,9.41110623165193,10.1500795266522,10.2590746854071,10.3607720776528,10.0305913065238
"DKK1",11.1290247926279,12.6900616669097,12.8798957690245,11.8415520243398,11.0661457451483,11.3975708455708
"INCENP",9.38061231619164,9.43884363063395,10.007338186278,10.2936266881553,10.3772307605146,9.30382203871995
"CCNF",8.97872733388257,9.03698890603446,10.3989004726821,10.7106424641953,10.2697251446474,8.85178332453679
"CDH5",8.13111939340896,9.4417719207491,10.2468460960471,9.97753399583153,9.69410253675415,8.50049864326509
"KNSTRN",11.4118985999725,11.5502794650706,11.8431336721712,12.2499281548834,12.2698207615011,11.270264300893
"UBALD2",10.7017066228793,10.9744862525644,11.4725897305416,11.7106193819862,11.4979650142254,10.8934193970131
"G2E3",7.80321486948452,7.93188530545402,9.01824052294827,9.51283622822381,9.44658896597514,7.96939524512191
"",12.2828129362156,11.227546355826,12.2528282230842,12.57527664398,12.7431778749689,11.875914767906
"CEP55",11.6956175392827,11.74090997758,12.018908749827,12.3483913855621,12.3208742601304,11.5866748682131
"HIST1H3A",10.0445126781239,11.346246803288,11.1643910113179,9.67609023667035,9.05200311634228,10.8353219585763
"UBE2S",10.9791838885307,11.2935177089438,11.8358682302829,12.3334200020317,12.4094400932837,11.4488069693128
"ZFAND3",8.87446096909089,8.91859802767388,9.50273474344282,9.75508127433959,9.92812445480931,9.90494109372546
"SMTN",8.70868729302139,8.63570321910773,9.39331199461629,9.75369867502698,9.90698289787691,9.11598039627878
"HIST1H2BF",12.0508069522323,12.9191005753671,12.6223615835554,11.5068851812483,11.0092930002244,12.6325021761627
